입력표기,정규화자격증명,표기구분,자격유형,자격상태,Q-NetURL
선급자격,선급용접사,별칭·구표기,현장·민간·국제 인증,현장·민간·국제,
에너지관리기능사,에너지관리기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%97%90%EB%84%88%EC%A7%80%EA%B4%80%EB%A6%AC%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EC%97%90%EB%84%88%EC%A7%80%EA%B4%80%EB%A6%AC%EA%B8%B0%EB%8A%A5%EC%82%AC
온수온돌기능사,온수온돌기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%98%A8%EC%88%98%EC%98%A8%EB%8F%8C%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EC%98%A8%EC%88%98%EC%98%A8%EB%8F%8C%EA%B8%B0%EB%8A%A5%EC%82%AC
용접기능장,용접기능장,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%9E%A5&searchSort=weight&totalQuery=%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%9E%A5
용접기사,용접기사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%9A%A9%EC%A0%91%EA%B8%B0%EC%82%AC&searchSort=weight&totalQuery=%EC%9A%A9%EC%A0%91%EA%B8%B0%EC%82%AC
용접기술사,용접기술사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%9A%A9%EC%A0%91%EA%B8%B0%EC%88%A0%EC%82%AC&searchSort=weight&totalQuery=%EC%9A%A9%EC%A0%91%EA%B8%B0%EC%88%A0%EC%82%AC
용접산업기사,용접산업기사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%9A%A9%EC%A0%91%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC&searchSort=weight&totalQuery=%EC%9A%A9%EC%A0%91%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC
이산화탄소가스아크용접기능사,이산화탄소가스아크용접기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%9D%B4%EC%82%B0%ED%99%94%ED%83%84%EC%86%8C%EA%B0%80%EC%8A%A4%EC%95%84%ED%81%AC%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EC%9D%B4%EC%82%B0%ED%99%94%ED%83%84%EC%86%8C%EA%B0%80%EC%8A%A4%EC%95%84%ED%81%AC%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%82%AC
CO2용접기능사,이산화탄소가스아크용접기능사,별칭·구표기,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%9D%B4%EC%82%B0%ED%99%94%ED%83%84%EC%86%8C%EA%B0%80%EC%8A%A4%EC%95%84%ED%81%AC%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EC%9D%B4%EC%82%B0%ED%99%94%ED%83%84%EC%86%8C%EA%B0%80%EC%8A%A4%EC%95%84%ED%81%AC%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%82%AC
CO₂용접기능사,이산화탄소가스아크용접기능사,별칭·구표기,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%9D%B4%EC%82%B0%ED%99%94%ED%83%84%EC%86%8C%EA%B0%80%EC%8A%A4%EC%95%84%ED%81%AC%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EC%9D%B4%EC%82%B0%ED%99%94%ED%83%84%EC%86%8C%EA%B0%80%EC%8A%A4%EC%95%84%ED%81%AC%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%82%AC
조적기능사,조적기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%A1%B0%EC%A0%81%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EC%A1%B0%EC%A0%81%EA%B8%B0%EB%8A%A5%EC%82%AC
지게차운전기능사,지게차운전기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%A7%80%EA%B2%8C%EC%B0%A8%EC%9A%B4%EC%A0%84%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EC%A7%80%EA%B2%8C%EC%B0%A8%EC%9A%B4%EC%A0%84%EA%B8%B0%EB%8A%A5%EC%82%AC
천공기운전기능사,천공기운전기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EC%B2%9C%EA%B3%B5%EA%B8%B0%EC%9A%B4%EC%A0%84%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EC%B2%9C%EA%B3%B5%EA%B8%B0%EC%9A%B4%EC%A0%84%EA%B8%B0%EB%8A%A5%EC%82%AC
